Quarter,Time,Down,ToGo,Location,Detail,GNB,NYJ,EPB,EPA
4,5:03,3,1,NYJ 31,Sam Darnold middle for no gain (tackle by Dean Lowry and Montravius Adams),30,35,0.370,-1.310
4,4:34,4,1,NYJ 31,Rontez Miles middle for 4 yards (tackle by Antonio Morrison),30,35,-1.310,1.270
4,3:46,1,10,NYJ 35,Elijah McGuire left end for -1 yards (tackle by Josh Jones). Penalty on Josh Jones: Face Mask (15 Yards) 15 yards (no play),30,35,1.270,2.260
4,3:40,1,10,50,Andre Roberts left end for 2 yards (tackle by Tyler Lancaster). Penalty on Brian Winters: Offensive Holding 10 yards (no play),30,35,2.260,1.600
4,3:34,1,20,NYJ 40,Elijah McGuire right end for -3 yards (tackle by Tony Brown),30,35,1.600,-0.040
4,3:28,,,,Timeout #2 by Green Bay Packers,30,35,,
4,3:28,2,23,NYJ 37,Elijah McGuire right tackle for 4 yards (tackle by Tony Brown),30,35,-0.040,-0.160
4,3:24,,,,Timeout #3 by Green Bay Packers,30,35,,
4,3:24,3,19,NYJ 41,Sam Darnold pass incomplete,30,35,-0.160,-0.650
4,3:20,4,19,NYJ 41,Lac Edwards punts 42 yards,30,35,-0.650,0.060
4,3:12,1,10,GNB 17,Aaron Rodgers pass complete short left to Jamaal Williams for 4 yards (tackle by Morris Claiborne),30,35,-0.060,0.080
4,3:06,2,6,GNB 21,Aaron Rodgers pass complete short middle to Jimmy Graham for 16 yards (tackle by Avery Williamson),30,35,0.080,1.400
4,2:39,1,10,GNB 37,Aaron Rodgers pass incomplete deep left intended for Marquez Valdes-Scantling,30,35,1.400,0.860
4,2:30,2,10,GNB 37,Aaron Rodgers pass complete short right to Jake Kumerow for 13 yards (tackle by Trumaine Johnson),30,35,0.860,2.260
4,2:25,1,10,50,Aaron Rodgers pass complete short right to Jamaal Williams for 26 yards (tackle by Brandon Copeland),30,35,2.260,3.970
4,2:00,1,10,NYJ 24,Aaron Rodgers pass incomplete deep left intended for Davante Adams (defended by Buster Skrine),30,35,3.970,3.430
4,1:55,2,10,NYJ 24,Aaron Rodgers left end for 23 yards (tackle by Jamal Adams),30,35,3.430,6.970
4,1:32,,,,Timeout #1 by New York Jets,30,35,,
4,1:32,1,1,NYJ 1,Aaron Rodgers pass incomplete short right intended for Dan Vitale,30,35,6.970,5.910
4,1:27,2,1,NYJ 1,Aaron Rodgers pass incomplete short right intended for Marquez Valdes-Scantling,30,35,5.910,5.170
4,1:23,3,1,NYJ 1,Jamaal Williams middle for no gain (tackle by Frankie Luvu),30,35,5.170,3.550
4,1:16,,,,Timeout #2 by New York Jets,30,35,,
4,1:16,4,1,NYJ 1,Aaron Rodgers middle for 1 yard touchdown,36,35,3.550,7.000
4,1:12,,,NYJ 2,Two Point Attempt: Aaron Rodgers pass incomplete intended for Jimmy Graham is intercepted by Darryl Roberts conversion fails. Penalty on Darryl Roberts: Defensive Holding 1 yards (no play),36,35,0.000,-1.000
4,1:12,,,NYJ 1,Two Point Attempt: Aaron Rodgers right guard conversion succeeds,38,35,0.000,1.000
4,1:12,,,GNB 35,Mason Crosby kicks off 54 yards returned by Andre Roberts for 51 yards (tackle by James Crawford),38,35,0.000,-3.050
4,1:05,1,10,GNB 38,Sam Darnold pass complete short left to Christopher Herndon for 9 yards (tackle by Eddie Pleasant),38,35,3.050,3.720
4,0:44,2,1,GNB 29,Sam Darnold pass complete short right to Christopher Herndon for 14 yards (tackle by Blake Martinez),38,35,3.720,4.580
4,0:36,1,10,GNB 15,Sam Darnold pass incomplete short middle intended for Christopher Herndon,38,35,4.580,3.950
4,0:36,,,,Timeout #3 by New York Jets,38,35,,
4,0:32,2,10,GNB 15,Sam Darnold pass incomplete short right intended for Deontay Burnett,38,35,3.950,3.100
4,0:26,3,10,GNB 15,Sam Darnold pass incomplete short left intended for Robby Anderson,38,35,3.100,2.440
