Quarter,Time,Down,ToGo,Location,Detail,DEN,NYJ,EPB,EPA
4,3:13,,,,Timeout #2 by Denver Broncos,16,34,,
4,3:13,2,8,DEN 45,Bilal Powell middle for -2 yards (tackle by Bradley Chubb and Von Miller),16,34,2.180,1.220
4,3:08,,,,Timeout #3 by Denver Broncos,16,34,,
4,3:08,3,10,DEN 47,Bilal Powell middle for 2 yards (tackle by Justin Simmons and Josey Jewell),16,34,1.220,0.270
4,2:21,,,,Timeout #2 by New York Jets,16,34,,
4,2:21,4,8,DEN 45,Lac Edwards punts 45 yards touchback,16,34,0.270,-0.280
4,2:14,1,10,DEN 20,Case Keenum pass complete short right to Emmanuel Sanders for 10 yards (tackle by Avery Williamson),16,34,0.280,0.940
4,2:00,1,10,DEN 30,Case Keenum pass complete short middle to Devontae Booker for 22 yards (tackle by Avery Williamson),16,34,0.940,2.390
4,1:51,1,10,NYJ 48,Case Keenum pass complete short right to Devontae Booker for 4 yards (tackle by Marcus Maye),16,34,2.390,2.390
4,1:43,2,6,NYJ 44,Case Keenum pass complete short right to Devontae Booker for 13 yards (tackle by Marcus Maye),16,34,2.390,3.510
4,1:13,1,10,NYJ 31,Case Keenum pass complete short middle to Matt LaCosse for 11 yards (tackle by Avery Williamson),16,34,3.510,4.240
4,0:55,1,10,NYJ 20,Case Keenum pass complete short middle to Emmanuel Sanders for 11 yards (tackle by Jamal Adams),16,34,4.240,5.140
4,0:34,1,9,NYJ 9,Case Keenum pass complete short right to Emmanuel Sanders for 6 yards (tackle by Parry Nickerson),16,34,5.140,5.530
4,0:11,2,3,NYJ 3,Case Keenum pass incomplete short left intended for Courtland Sutton is intercepted by Marcus Maye at NYJ--5 and returned for 104 yards,16,34,5.530,-0.280
